antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'vegetarian', 'high_calories_burned'})","frozenset({'low_resting_hr', 'high_strain'})",0.24364356435643564,0.25473267326732674,0.10986138613861386,0.4509102730819246,1.770131280366697,1.0,0.04779740966571905,1.3572778549613398,0.5752184139137994,0.28277268093781854,0.26323118266120715,0.4410956838046439
"frozenset({'low_resting_hr', 'high_strain'})","frozenset({'vegetarian', 'high_calories_burned'})",0.25473267326732674,0.24364356435643564,0.10986138613861386,0.4312810945273632,1.770131280366697,1.0,0.04779740966571905,1.329930178802462,0.5837773019941407,0.28277268093781854,0.2480808271450372,0.4410956838046439
"frozenset({'vegetarian', 'high_steps', 'high_strain'})","frozenset({'high_calories_burned', 'low_resting_hr'})",0.1786138613861386,0.2601980198019802,0.08198019801980198,0.45898004434589806,1.7639644017859857,1.0,0.03550522497794334,1.3674208732348645,0.5272734895811496,0.22974472807991123,0.2686962590863986,0.3870242687482915
"frozenset({'high_calories_burned', 'low_resting_hr'})","frozenset({'vegetarian', 'high_steps', 'high_strain'})",0.2601980198019802,0.1786138613861386,0.08198019801980198,0.3150684931506849,1.7639644017859855,1.0,0.03550522497794334,1.1992237623762376,0.5854203519225398,0.22974472807991123,0.16612726384063617,0.3870242687482915
"frozenset({'high_steps', 'high_strain'})","frozenset({'high_calories_burned', 'low_resting_hr'})",0.21417821782178217,0.2601980198019802,0.09710891089108911,0.45340236686390534,1.7425281222699558,1.0,0.0413801627291442,1.3534672222296655,0.5422618457428694,0.2574007978165022,0.2611568395778164,0.41330696729801053
"frozenset({'high_calories_burned', 'low_resting_hr'})","frozenset({'high_steps', 'high_strain'})",0.2601980198019802,0.21417821782178217,0.09710891089108911,0.37321156773211567,1.7425281222699558,1.0,0.0413801627291442,1.2537273212508235,0.575993551564776,0.2574007978165022,0.20237839357100698,0.41330696729801053
"frozenset({'vegetarian', 'high_calories_burned', 'low_resting_hr'})",frozenset({'high_strain'}),0.2098217821782178,0.30613861386138613,0.10986138613861386,0.5235938089845225,1.7103161289597921,1.0,0.04562683658464857,1.4564491377822408,0.5255937971390892,0.2705285742149405,0.3133986116928763,0.4412276936255083
frozenset({'high_strain'}),"frozenset({'vegetarian', 'high_calories_burned', 'low_resting_hr'})",0.30613861386138613,0.2098217821782178,0.10986138613861386,0.3588615782664942,1.7103161289597921,1.0,0.04562683658464857,1.2324611831643213,0.5985529361026888,0.2705285742149405,0.1886154195684131,0.4412276936255083
"frozenset({'vegetarian', 'high_steps'})","frozenset({'high_calories_burned', 'low_resting_hr'})",0.2537029702970297,0.2601980198019802,0.11263366336633664,0.4439587886356541,1.7062343094444847,1.0,0.046620652877168905,1.3304804843201894,0.5546237058970521,0.2806948282668772,0.24839183153374012,0.4384177504822106
"frozenset({'high_calories_burned', 'low_resting_hr'})","frozenset({'vegetarian', 'high_steps'})",0.2601980198019802,0.2537029702970297,0.11263366336633664,0.4328767123287671,1.7062343094444847,1.0,0.046620652877168905,1.3159343760463003,0.5594929932507522,0.2806948282668772,0.24008368638831298,0.4384177504822106
"frozenset({'high_calories_burned', 'low_resting_hr'})",frozenset({'high_strain'}),0.2601980198019802,0.30613861386138613,0.13576237623762377,0.521765601217656,1.7043442989321882,1.0,0.056105715125968056,1.4508813834916272,0.5586144710770854,0.3153053715967623,0.31076378029371093,0.48261630643030284
frozenset({'high_strain'}),"frozenset({'high_calories_burned', 'low_resting_hr'})",0.30613861386138613,0.2601980198019802,0.13576237623762377,0.4434670116429496,1.7043442989321882,1.0,0.056105715125968056,1.3293048133265208,0.5956003607146093,0.3153053715967623,0.24772709014906197,0.48261630643030284
"frozenset({'vegetarian', 'high_strain'})","frozenset({'high_calories_burned', 'low_resting_hr'})",0.25005940594059406,0.2601980198019802,0.10986138613861386,0.4393411466582198,1.6884876640974202,1.0,0.04479642388001176,1.3195225149633605,0.5437151179596647,0.27438180019782393,0.24215010455674787,0.430781684440221
"frozenset({'high_calories_burned', 'low_resting_hr'})","frozenset({'vegetarian', 'high_strain'})",0.2601980198019802,0.25005940594059406,0.10986138613861386,0.4222222222222222,1.6884876640974202,1.0,0.04479642388001176,1.2979741051028182,0.5511664600473345,0.27438180019782393,0.2295686053607473,0.430781684440221
frozenset({'high_steps'}),"frozenset({'high_calories_burned', 'low_resting_hr'})",0.3004356435643564,0.2601980198019802,0.1318811881188119,0.4389665172686528,1.6870478783917022,1.0,0.0537084285854328,1.3186414054939328,0.5821460047003526,0.3075928320709403,0.24164371311742416,0.472907916168573
"frozenset({'high_calories_burned', 'low_resting_hr'})",frozenset({'high_steps'}),0.2601980198019802,0.3004356435643564,0.1318811881188119,0.5068493150684932,1.6870478783917022,1.0,0.0537084285854328,1.4185610561056106,0.5504832455581921,0.3075928320709403,0.2950603037522335,0.472907916168573
